user_id,image_no,desktop_rating,gender,qualification,mobile_rating,age
u81,8,9,1,1,10,18
u82,8,3,1,1,1,17
u83,8,8,0,1,6,20
u84,8,10,0,1,10,20
u85,8,4,0,1,10,18
u86,8,5,0,1,8,21
u87,8,5,0,1,6,19
u88,8,7,0,1,9,23
u89,8,4,0,1,4,19
u90,8,8,0,1,8,20
u91,8,4,1,1,5,23
u92,8,8,0,1,10,20
u93,8,2,0,1,1,18
u94,8,2,0,1,3,21
u95,8,3,0,1,4,21
u96,8,3,0,1,6,22
u97,8,6,1,1,10,21
u98,8,2,1,1,5,23
u99,8,6,1,1,6,22
u100,8,6,1,1,6,23
u1,9,8,1,1,9,23
u2,9,3,0,2,4,58
u3,9,4,1,0,4,84
u4,9,9,1,0,8,47
u5,9,7,1,1,6,16
u6,9,5,1,1,4,16
u7,9,7,1,1,3,16
u8,9,6,1,1,3,15
u9,9,1,0,1,4,15
u10,9,3,0,1,3,16
u11,9,5,0,1,7,16
u12,9,2,0,1,5,16
u13,9,6,0,1,9,16
u14,9,6,0,1,4,16
u15,9,2,1,1,2,17
u16,9,1,1,1,3,15
u17,9,4,1,1,5,15
u18,9,8,1,1,5,15
u19,9,4,1,1,1,15
u20,9,5,1,1,8,16
u21,9,10,1,1,8,16
u22,9,9,0,1,3,15
u23,9,2,0,1,1,15
u24,9,4,0,1,2,16
u25,9,5,0,1,7,11
u26,9,8,0,1,9,16
u27,9,10,0,1,10,20
u28,9,8,1,1,10,18
u29,9,7,0,1,7,20
u30,9,7,0,1,9,20
u31,9,6,0,1,10,20
u32,9,4,0,1,2,18
u33,9,5,1,1,5,18
u34,9,5,1,1,7,15
u35,9,5,0,1,4,13
u36,9,5,0,1,6,8
u37,9,5,0,1,7,10
u38,9,6,0,1,5,10
u39,9,4,0,1,3,6
u40,9,3,1,2,7,60
u41,9,7,1,2,10,53
u42,9,6,1,0,7,55
u43,9,7,1,0,6,44
u44,9,8,1,2,8,47
u45,9,3,1,2,7,48
u46,9,4,0,2,5,48
u47,9,3,1,0,3,48
u48,9,9,0,2,8,38
u49,9,6,1,0,10,35
u50,9,8,1,1,9,32
u51,9,8,1,1,9,30
u52,9,7,1,0,8,26
u53,9,7,1,1,9,24
u54,9,7,0,1,6,24
u55,9,6,0,1,6,27
u56,9,10,1,1,9,27
u57,9,9,1,1,6,24
u58,9,8,1,1,8,22
u59,9,7,0,2,6,29
u60,9,8,0,1,7,23
u61,9,6,0,1,6,21
u62,9,3,0,1,4,22
u63,9,4,0,1,5,22
u64,9,6,0,1,5,21
u65,9,5,0,1,2,22
u66,9,3,0,1,1,24
u67,9,4,0,1,4,25
u68,9,2,0,1,7,21
u69,9,8,0,1,5,29
u70,9,9,0,1,3,22
u71,9,9,0,1,5,21
u72,9,2,1,1,6,22
u73,9,9,1,1,8,23
u74,9,7,1,1,1,16
u75,9,2,1,1,5,23
u76,9,10,0,1,8,23
u77,9,7,1,1,3,19
u78,9,5,1,1,10,17
u79,9,5,1,1,6,16
u80,9,8,1,1,3,18
u81,9,10,1,1,10,18
u82,9,1,1,1,8,17
u83,9,6,0,1,9,20
u84,9,7,0,1,8,20
u85,9,2,0,1,5,18
u86,9,3,0,1,2,21
u87,9,6,0,1,7,19
u88,9,6,0,1,10,23
u89,9,4,0,1,4,19
u90,9,2,0,1,2,20
u91,9,10,1,1,6,23
u92,9,8,0,1,4,20
u93,9,3,0,1,2,18
u94,9,6,0,1,1,21
u95,9,1,0,1,1,21
u96,9,6,0,1,4,22
u97,9,10,1,1,5,21
u98,9,4,1,1,3,23
u99,9,6,1,1,7,22
u100,9,5,1,1,9,23
u1,10,5,1,1,6,23
u2,10,5,0,2,2,58
u3,10,5,1,0,5,84
u4,10,5,1,0,9,47
u5,10,4,1,1,5,16
u6,10,4,1,1,5,16
u7,10,5,1,1,4,16
u8,10,5,1,1,4,15
u9,10,2,0,1,3,15
u10,10,5,0,1,1,16
u11,10,10,0,1,1,16
u12,10,3,0,1,6,16
u13,10,4,0,1,8,16
u14,10,7,0,1,3,16
u15,10,9,1,1,5,17
u16,10,4,1,1,5,15
u17,10,3,1,1,9,15
u18,10,9,1,1,8,15
u19,10,6,1,1,8,15
u20,10,6,1,1,10,16
